smiles,AChE_class,BuChE_class,BACE1_class,MAO_B_class
CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(O)cc(O)c(C(=O)O)c1C,,,,Inactive
CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(O)cc(O)c(C=O)c1C,,,,Moderate
CC(C)=CCC/C(C)=C/CC/C(C)=C\Cc1c(O)cc(O)c(CC=C(C)C)c1-c1cc2ccc(O)cc2o1,Inactive,,Moderate,
CC(C)=CCC/C(C)=C/CC1=C(C)C(=O)C(O)=C(O)C1=O,,,,Moderate
CC(C)=CCC/C(C)=C/COc1c2ccoc2cc2oc(=O)ccc12,,,Inactive,
CC(C)=CCC/C(C)=C/COc1c2occc2cc2ccc(=O)oc12,,,Inactive,
CC(C)=CCC/C(C)=C/Cc1c(C)cc(O)c(O)c1O,,,,Inactive
CC(C)=CCC/C(C)=C/Cc1c(O)cc(O)c(C=O)c1C,,,,Inactive
CC(C)=CCC/C(C)=C/Cc1c(O)cc(O)c(CC=C(C)C)c1-c1cc2ccc(O)cc2o1,,Active,,
CC(C)=CCC/C(C)=C/Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)c(O)c1)O2,Moderate,,,
CC(C)=CCC/C(C)=C/Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2,Inactive,,,
CC(C)=CCC/C(C)=C/Cc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2)c1O,,,,Inactive
CC(C)=CCC/C(C)=C/Cc1c(O)ccc2cc(-c3cc(O)cc(O)c3CC=C(C)C)oc12,Inactive,,Moderate,
CC(C)=CCC/C(C)=C/Cc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)c(O)cc1O,Moderate,Inactive,,
CC(C)=CCC/C(C)=C/Cc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)c(O)cc1O,Moderate,Moderate,,
CC(C)=CCC/C(C)=C/Cc1ccc(O)c2nc3cccc(O)c3nc12,Moderate,,,
CC(C)=CCC12CCN(C)C1N(Cc1ccccc1)c1ccccc12,,Moderate,,
CC(C)=CCC1=C2O[C@H](C(C)(C)O)C[C@@]23C[C@H](CC=C(C)C)[C@@](C)(CCC(=O)C(C)C)[C@@](C(=O)C(C)C)(C1=O)C3=O,Inactive,,,
CC(C)=CCCC1(C)C=Cc2c(O)cc(-c3cc4c(O)cc(O)cc4o3)c(CC=C(C)C)c2O1,,Moderate,,
CC(C)=CCCC1(C)C=Cc2c(O)cc(-c3cc4ccc(O)cc4o3)c(CC=C(C)C)c2O1,,Inactive,,
CC(C)=CCCC1(C)C=Cc2c(ccc3cc(-c4cc(O)cc(O)c4CC=C(C)C)oc23)O1,Moderate,,Moderate,
CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C(=O)C1=C2O[C@@H](C(C)(C)O)[C@@H]1O,Inactive,,,
CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C(=O)C1=C2O[C@H](C(C)(C)O)[C@H]1O,Inactive,,,
CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C3=C(O[C@@H](C(C)(C)O)[C@@H]3O)[C@@]1(C(=O)C(C)C)C2=O,Inactive,,,
CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C3=C(O[C@H](C(C)(C)O)[C@H]3O)[C@@]1(C(=O)C(C)C)C2=O,Moderate,,,
CC(C)=CCN1CCC2(CC=C(C)C)c3ccccc3N(CC=C(C)C)C12,,Moderate,,
CC(C)=CCN1c2ccccc2C2(CC=C(C)C)CCN(C)C12,,Moderate,,
CC(C)=CCN1c2ccccc2C2(CC=C(C)C)CCNC12,,Moderate,,
CC(C)=CCN1c2ccccc2[C@]2(CC=C(C)C)CCN(C)[C@H]12,,Moderate,,
CC(C)=CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,Active,Active,,
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,Inactive,,,
CC(C)=CCOc1c2occc2cc2ccc(=O)oc12,,,Inactive,
CC(C)=CCOc1ccc(C(=O)/C=C/c2ccc(C)cc2)c(O)c1,,,,Moderate
CC(C)=CCOc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1,,,,Moderate
CC(C)=CCOc1ccc(C(=O)/C=C/c2ccccc2)c(O)c1,,,,Inactive
CC(C)=CCOc1ccc(C2=NN(C(N)=S)C(c3ccc(Cl)cc3)C2)c(O)c1,,,,Moderate
CC(C)=CCOc1ccc(C2=NN(C(N)=S)C(c3ccc(OCc4ccccc4)cc3)C2)c(O)c1,,,,Moderate
CC(C)=CCOc1ccc(C2=NN(C(N)=S)C(c3ccccc3)C2)c(O)c1,,,,Inactive
CC(C)=CC[C@H]1C[C@@]2(CC=C(C)C)C(=O)O[C@@](CC=C(C)C)(C(=O)[C@@H](C(=O)C(C)C)[C@]1(C)C/C=C/C(C)(C)O)C2=O,Moderate,,,
CC(C)=CC[C@H]1C[C@@]2(CC=C(C)C)C(=O)[C@](C(=O)C(C)C)(C(=O)C3=C2O[C@H](C(C)(C)O)C3)[C@]1(C)CCC(=O)C(C)C,Inactive,,,
CC(C)=CC[C@H]1C[C@]2(CC=C(C)C)C(=O)[C@]3(CC=C(C)C)O[C@@]1(C(=O)C(C)C)[C@@]2(O)C(C)(C)C3=O,Inactive,,,
CC(C)=CC[C@]12C[C@@H]3[C@@H]4[C@@H](O)C(C)(C)[C@@H](C(C)C)CC4(C1=O)C(=O)[C@](C(=O)c1ccccc1)(C2=O)C3(C)C,Inactive,,,
CC(C)=CCc1c(-c2cc3ccc(O)cc3o2)cc2c3c1O[C@@]1(C)CCC([C@@H]3C1)C(C)(C)O2,,Moderate,,
CC(C)=CCc1c(-c2ccc(O)c3c2OC(C)(C)C=C3)oc2cc(O)cc(O)c2c1=O,,,Moderate,
CC(C)=CCc1c(-c2ccc(O)cc2O)oc2c(CC=C(C)C)c(O)cc(O)c2c1=O,Moderate,Moderate,Moderate,
CC(C)=CCc1c(-c2ccc(O)cc2O)oc2c3c(cc(O)c2c1=O)OC(C)(C)C=C3,Moderate,Moderate,Inactive,
CC(C)=CCc1c(C)c(C=O)c(O)c(CC=C(C)C)c1O,,,,Moderate
CC(C)=CCc1c(O)c(/C=N/CCCCCNc2c3c(nc4ccccc24)CCCC3)cc2c1[nH]c1ccccc12,,Inactive,,
CC(C)=CCc1c(O)cc(/C=C/c2ccc(O)cc2)cc1O,,,,Moderate
CC(C)=CCc1c(O)cc(/C=C/c2ccc3c(c2)[C@H](c2cc(O)c(CC=C(C)C)c(O)c2)[C@@H](c2ccc(O)cc2)O3)cc1O,,,,Moderate
CC(C)=CCc1c(O)cc(/C=C/c2ccc3c(c2)[C@H](c2cc(O)c4c(c2)OC(C)(C)CC4)[C@@H](c2ccc(O)cc2)O3)cc1O,,,,Moderate
CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccccc1)CC2=O,Active,,,
CC(C)=CCc1c(O)cc([C@@H](Oc2ccc(/C=C/c3cc(O)c4c(c3)OC(C)(C)CC4)cc2)[C@@H](C)c2ccc(O)cc2)cc1O,,,,Moderate
CC(C)=CCc1cc(C(=O)/C=C/c2ccc(O)c(O)c2)c(O)cc1O,,,,Moderate
CC(C)=NNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],Moderate,Moderate,,
CC(C)=NNc1nc(-c2ccc3ccccc3c2)cs1,,,,Moderate
CC(C)=NNc1nc(-c2cccc([N+](=O)[O-])c2)cs1,,,,Moderate
CC(C)=NNc1nc(-c2ccccc2)c(C)s1,,,,Moderate
CC(C)C#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,,,Active,
CC(C)C(/C=C\[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H](OS(=O)(=O)[O-])[C@H]4C[C@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])C[C@]4(C)[C@H]3CC[C@]12C)C(C)C.[Na+].[Na+].[Na+],,,Moderate,
CC(C)C(=O)N(C)CC(C)(C)CS(=O)(=O)c1ccc(OC/C(=C/F)CN)cc1,,,,Inactive
CC(C)C(=O)NC12CCC(CS(=O)(=O)c3ccc(OC/C(=C/F)CN)cc3)(CC1)CC2,,,,Inactive
CC(C)C(=O)N[C@@H](Cc1ccc2c(c1)OCO2)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,,,Moderate,
CC(C)C(=O)N[C@H]1CC=C2C[C@H]3C(=O)C[C@]4(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]4(C)[C@@H]3CC[C@H]2[C@]1(C)CO,,Moderate,,
CC(C)C(=O)N[C@H]1CC[C@]2(O)CC3=CC[C@]4(C)[C@@H]([C@H](C)N(C)C)CC[C@@]4(C)[C@@H]3CC[C@H]2C1(C)C,,Inactive,,
CC(C)C(=O)c1cc(-c2nnc([C@](C)(N)Cc3ccccc3)o2)cc(N(C)S(C)(=O)=O)c1,,,Inactive,
CC(C)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(N(C)S(C)(=O)=O)c1,,,Moderate,
CC(C)C(C(=O)NCc1ccc(CN)cc1)c1ccc(-c2ccccc2)cc1,,,Inactive,
CC(C)C(C)Nc1ccc(F)c([C@]2(C)COCC(N)=N2)c1,,,Moderate,
CC(C)C(Nc1ccc(F)c([C@]2(C)COCC(N)=N2)c1)c1ccc(Cl)cn1,,,Moderate,
CC(C)C1(c2cccc(-c3cccc(Cl)c3)c2)NC(=N)N(C)C1=O,,,Moderate,
CC(C)C1=NC(C)(c2cccc(-c3cccnc3)c2)N=C1N,,,Inactive,
CC(C)C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1N,,,Inactive,
CC(C)C1=N[C@H]2CC=C3CC4C(=O)C[C@]5(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]5(C)[C@@H]4CC[C@H]3[C@]2(C)CO1,Moderate,,,
CC(C)C1=N[C@H]2CC=C3C[C@H]4C(=O)C[C@]5(C)[C@@H]([C@H](C)N(C)C)[C@H](OC(=O)C(C)(C)C)C[C@@]5(C)[C@@H]4CC[C@H]3[C@]2(C)CO1,Moderate,,,
CC(C)C1=N[C@H]2CC[C@H]3C=C4C(=O)C[C@]5(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]5(C)[C@@H]4CC[C@H]3[C@]2(C)CO1,,Moderate,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C(=O)OC(C)(C)C)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1,Moderate,,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C(=O)c6ccccc6)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1,Active,,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)C=C1,Active,Moderate,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CC1,Moderate,,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CN1,Moderate,,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CN1C,,Moderate,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1,Active,Moderate,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)N1,,Moderate,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)CCCN6C(=O)c7ccccc7C6=O)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1,Active,Moderate,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)CCCc6ccccc6)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1,Active,Moderate,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)CCN6C(=O)c7ccccc7C6=O)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1,Active,Moderate,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)CCc6ccccc6)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1,Active,Moderate,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)Cc6ccc(C(F)(F)F)cc6)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1,Active,,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)Cc6cccc(C(F)(F)F)c6)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1,Active,,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)Cc6ccccc6)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1,Active,Moderate,,
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)Cc6ccccc6C(F)(F)F)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1,Active,,,
CC(C)C1C(=O)Nc2ccc(OCc3cccc(F)c3)cc21,,,,Inactive
CC(C)C1CCN(c2nccc(NC(c3ccccc3)c3ccccc3)n2)CC1,Inactive,,,
CC(C)C1CCN(c2nccc(NCc3cccc4ccccc34)n2)CC1,Inactive,,,
CC(C)C1CCN(c2nccc(NCc3ccccc3)n2)CC1,Inactive,,,
CC(C)C1c2c(-c3ccccc3)n[nH]c2Oc2nc3c(c(N)c21)CCCC3,,Moderate,,
CC(C)CC(=O)N1CCC2(C1)[C@@](C)(c1cc(NC(=O)c3ccc(F)cn3)ccc1F)NC(=N)N(C)S2(=O)=O,,,Active,
CC(C)CC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,,,Moderate,
CC(C)CC(NC(=O)C(O)c1cccc(Oc2ccccc2)c1)[C@@H](O)CC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)C,,,Moderate,
CC(C)CC(NC(=O)C(O)c1cccc2ccccc12)[C@@H](O)CC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)C,,,Moderate,
CC(C)CC(NC(=O)C(O)c1ccccc1Br)[C@@H](O)CC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)C,,,Moderate,
CC(C)CC(NC(=O)C(O)c1ccccc1OCc1ccccc1)[C@@H](O)CC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)C,,,Inactive,
CC(C)CC(NC(=O)C(O)c1ccccc1Oc1ccccc1)[C@@H](O)CC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)C,,,Inactive,
CC(C)CC(NC(=O)CCCOc1ccccc1)[C@@H](O)CC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)C,,,Inactive,
CC(C)CC(NC(=O)Cc1ccc(-c2ccccc2)cc1)[C@@H](O)CC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)C,,,Inactive,
CC(C)CC(NC(=O)Cc1cccc2ccccc12)[C@@H](O)CC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)C,,,Inactive,
CC(C)CC(NC(=O)[C@@H](O)c1ccccc1)[C@@H](O)CC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)C,,,Inactive,
CC(C)CC(NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CCC(=O)O)P(=O)(O)CC(C)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C,,,Moderate,
CC(C)CC(NC(=O)c1ccc2ccccc2c1)[C@@H](O)CC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)C,,,Inactive,
CC(C)CC/N=C(/C=N/O)N(C)C.Cl,Inactive,Inactive,,
CC(C)CC1(C)NC(=N)N(Cc2ccc(CNC(=O)Nc3ccc(C#N)cc3)cc2)C1=O,,,Moderate,
CC(C)CC1Oc2ccc(-c3cncnc3)cc2C2(COC(N)=N2)C12COC2,,,Moderate,
CC(C)CC1Oc2ccc(Br)cc2C2(COC(N)=N2)C12COC2,,,Inactive,
CC(C)CCCC(C)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2ccccc2)S(C)(=O)=O)c1,,,Active,
CC(C)CCCCOc1nc2c(c(=O)n(C)c(=O)n2C)n1C,,,,Moderate
CC(C)CCNc1ccc(F)c([C@]2(C)COCC(N)=N2)c1,,,Moderate,
CC(C)CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1C,,,,Inactive
CC(C)CCSC(=O)OCC[N+](C)(C)C.[Cl-],Inactive,,,
CC(C)CCSc1ccc(C#N)c(C#N)c1,,,,Moderate
CC(C)CCSc1ccc2c(c1)C(=O)NC2=O,,,,Active
CC(C)CCSc1nc2c(c(=O)n(C)c(=O)n2C)n1C,,,,Moderate
CC(C)CCn1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,,,Active,
CC(C)CCn1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cn1,,,Moderate,
CC(C)CN(CCCN1CCN(CCCNc2nc3ccccc3[nH]2)CC1)CC(C)C,,,Moderate,
CC(C)CN(CCCc1ccccc1)Cc1ccc2ccccc2c1,,Active,,
CC(C)CN(Cc1csc(COc2ccc(C(F)(F)F)cc2)n1)C(=O)c1ccc2c(c1)OCO2,,Moderate,,
CC(C)CN(Cc1csc(COc2ccc(Cl)cc2)n1)C(=O)c1ccc2c(c1)OCO2,,Moderate,,
CC(C)CN(Cc1csc(COc2ccc(F)cc2)n1)C(=O)S(=O)(=O)c1ccccc1,,Moderate,,
CC(C)CN(Cc1csc(COc2ccc(F)cc2)n1)C(=O)c1ccc2c(c1)OCO2,,Moderate,,
CC(C)CN1CCN[C@@H]([C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cc(C(=O)N[C@H](C)c3ccccc3)cc(N(C)S(C)(=O)=O)c2)C1=O,,,Active,
CC(C)CNC(=O)C(NCC(O)C(Cc1ccccc1)NC(=O)c1cccc(C(=O)N(C)C(C)c2ccccc2)c1)C(C)O,,,Moderate,
CC(C)CNC(=O)CNC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,,,Moderate,
CC(C)CNC(=O)[C@@H](C[C@H](O)[C@@H]1COCc2cccc(c2)C(c2ccccc2)NC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N1)C(C)C,,,Moderate,
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CNC(=O)OC(C)(C)C)NC(=O)C1=NO[C@@H]2OCC[C@H]12)C(C)C,,,Moderate,
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CNC(=O)OC(C)(C)C)NC(=O)C1=NO[C@H]2OCC[C@@H]12)C(C)C,,,Moderate,
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)C1=NO[C@@H]2OCCC[C@H]12)C(C)C,,,Active,
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)C1=NO[C@@H]2OCC[C@H]12)C(C)C,,,Moderate,
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)C1=NO[C@H]2OCCC[C@@H]12)C(C)C,,,Moderate,
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)C1=NO[C@H]2OCC[C@@H]12)C(C)C,,,Moderate,
CC(C)CNC(=O)[C@@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)[C@@H](C)O,,,Active,
CC(C)CNC(=O)[C@@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)[C@H](C)O,,,Active,
CC(C)CNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)/C=C/c1ccc(C(F)(F)F)cc1,,,Moderate,
CC(C)CNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)c1ccc(Cl)cc1Cl,,,Moderate,
CC(C)CNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)c1ccc([N+](=O)[O-])cc1,,,Moderate,
CC(C)CNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)/C=C/c1ccc(C(F)(F)F)cc1,,,Inactive,
CC(C)CNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C,,,Moderate,
CC(C)CNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc([N+](=O)[O-])cc1,,,Inactive,
CC(C)CNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc2c(c1)OCO2,,,Moderate,
CC(C)CNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cccc2ccccc12,,,Moderate,
CC(C)CNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1,,,Moderate,
CC(C)CNC(=O)[C@H](C)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,,,Active,
CC(C)CNC(=O)[C@H](C)NC[C@H](Cc1ccccc1)NC(=O)c1cc(CCC2C[C@@H]2C)cc(N(C)S(C)(=O)=O)c1,,,Active,
CC(C)CNC(=O)[C@H](CCC(=O)O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)C[C@H](NC(=O)CC(C)C)C(=O)O,,,Moderate,
CC(C)CNC(=O)[C@H](CCO)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)C[C@H](NC(=O)CC(C)C)C(=O)O,,,Moderate,
CC(C)CNC(=O)[C@H](CCO)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,,,Active,
CC(C)CNC(=O)[C@H](CCS(C)(=O)=O)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,,,Moderate,
CC(C)CNC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O,,,,Moderate
CC(C)CNC(=O)c1cc2ccccc2oc1=O,,,,Moderate
CC(C)CNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,,,Moderate,
CC(C)COC(=O)Nc1cc2ccccc2oc1=O,,,,Moderate
CC(C)COc1ccc(-c2cc(=O)c3c(O)cc(Cl)cc3o2)cc1,,,,Active
CC(C)COc1ccc(-c2cc(=O)c3c(O)cc(F)cc3o2)cc1,,,,Moderate
CC(C)COc1ccc(F)c([C@]23COC(C)(C)C[C@H]2S(=O)(=O)C(C)(C)C(=N)N3)c1,,,Moderate,
CC(C)COc1ccc(F)c([C@]23CO[C@@H](C)C[C@H]2S(=O)(=O)C(C)(C)C(=N)N3)c1,,,Moderate,
CC(C)COc1ccc(F)c([C@]23CO[C@@H](C4CC4)C[C@H]2C(=O)N(C)C(=N)N3)c1,,,Active,
CC(C)COc1ccc2c(c1)C1(CC(C)(C)O2)N=C(N)N(C)C1=O,,,Moderate,
CC(C)COc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,,,Active,
CC(C)COc1cccc(CN2CC[C@]3(CNS(=O)(=O)N3c3cccc(F)c3)C[C@@H]2C)c1,,,Moderate,
CC(C)COc1cnc(C(=O)Nc2cccc([C@]3(C)CCSC(N)=N3)c2)cn1,,,Active,
CC(C)CS(=O)(=O)N1CC[C@@]2(C1)[C@@](C)(c1cc(NC(=O)c3ccc(F)cn3)ccc1F)NC(=N)N(C)S2(=O)=O,,,Active,
CC(C)CS(=O)(=O)N1CC[C@]2(C1)[C@@](C)(c1cc(NC(=O)c3ccc(F)cn3)ccc1F)NC(=N)N(C)S2(=O)=O,,,Active,
